evidence_lane,expectancy,friction_bps_per_side,net_pnl,normalization,overlay_name,partition,profit_factor,strategy_id,trades
PRICE_STRUCTURE_CANDIDATE_OVERLAY,3.5012127504068395,25.0,238.0824670276651,net_return_pct,COMMON_OPTION_OVERLAY_V1,development,1.421277854635419,OPENING_DRIVE,68
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-671.1215909090907,0.0,-7382.337499999999,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,0.26801284538073217,OPENING_DRIVE,11
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-10.417954545454544,0.0,-114.59749999999998,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,0.25633121887116916,OPENING_DRIVE,11
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-6.699355354296788,0.0,-73.69290889726467,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,0.2871140635849442,OPENING_DRIVE,11
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-679.9964392045454,5.0,-7479.960831249999,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,0.2640485774315035,OPENING_DRIVE,11
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-10.549627386363635,5.0,-116.04590124999999,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,0.2526027775707639,OPENING_DRIVE,11
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-6.7960056766196395,5.0,-74.75606244281603,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,0.28271569076277075,OPENING_DRIVE,11
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-697.7461357954545,15.0,-7675.207493749999,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,0.2563005568755059,OPENING_DRIVE,11
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-10.812973068181817,15.0,-118.94270374999998,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,0.2453118527260891,OPENING_DRIVE,11
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-6.989306321265343,15.0,-76.88236953391878,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,0.2741303094300753,OPENING_DRIVE,11
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-715.4958323863635,25.0,-7870.454156249999,one_lot_rupee,COMMON_OPTION_OVERLAY_V1,validation,0.24878422680362833,OPENING_DRIVE,11
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-11.076318749999999,25.0,-121.83950624999999,per_option_unit,COMMON_OPTION_OVERLAY_V1,validation,0.23823411711658657,OPENING_DRIVE,11
PRICE_STRUCTURE_CANDIDATE_OVERLAY,-7.182606965911046,25.0,-79.00867662502151,net_return_pct,COMMON_OPTION_OVERLAY_V1,validation,0.26581563940110914,OPENING_DRIVE,11
